Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,FIELD,employees_icdb_aes_field,EAGER,1,25/09/16 18:19:53,delete
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,1,383,1006,345,0
2,100000,0,355,1013,422,0
3,100000,0,418,959,368,0
4,100000,0,458,824,349,0
5,100000,0,354,955,354,0
1,150000,0,538,1227,508,0
2,150000,0,709,1154,509,0
3,150000,0,635,1152,508,0
4,150000,0,608,1148,502,0
5,150000,0,546,1211,512,0
1,200000,0,682,1653,711,0
2,200000,0,713,1395,700,0
3,200000,0,668,1454,698,0
4,200000,0,710,1812,673,0
5,200000,0,781,1357,726,0
1,50000,0,165,414,171,0
2,50000,0,259,424,176,0
3,50000,0,169,413,177,0
4,50000,0,183,522,204,0
5,50000,0,169,400,175,0
