Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,TUPLE,employees_icdb_aes_tuple,EAGER,1,25/09/16 18:15:23,delete
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,1,276,337,453,0
2,100000,0,412,431,773,0
3,100000,0,296,472,503,0
4,100000,0,248,482,535,0
5,100000,0,267,508,527,0
1,150000,0,393,572,761,0
2,150000,0,480,475,694,0
3,150000,0,375,590,655,0
4,150000,0,403,548,778,0
5,150000,0,369,746,702,0
1,200000,0,495,761,927,0
2,200000,0,598,705,913,0
3,200000,0,484,876,955,0
4,200000,0,498,722,957,0
5,200000,0,489,700,926,0
1,50000,0,122,192,236,0
2,50000,0,120,194,235,0
3,50000,0,123,209,293,0
4,50000,0,160,240,244,0
5,50000,0,124,245,246,0
