Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
RSA,FIELD,employees_icdb_rsa_field,EAGER,1,25/09/16 19:28:46,delete
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,1,433,21209,346,0
2,100000,0,568,21258,350,0
3,100000,0,421,21398,459,0
4,100000,0,422,21425,350,0
5,100000,0,406,21262,386,0
1,150000,0,604,31568,545,0
2,150000,0,683,31876,543,0
3,150000,0,690,31938,516,0
4,150000,0,604,31630,607,0
5,150000,0,623,31807,545,0
1,200000,0,834,42660,1407,0
2,200000,0,880,42423,1250,0
3,200000,0,833,42466,1702,0
4,200000,0,941,42487,1552,0
5,200000,0,924,43381,1621,0
1,50000,0,306,10780,173,0
2,50000,0,202,10682,201,0
3,50000,0,207,10714,175,0
4,50000,0,221,10823,183,0
5,50000,0,236,10655,184,0
