Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
RSA,TUPLE,employees_icdb_rsa_tuple,EAGER,1,25/09/16 18:56:36,delete
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,1,422,5638,346,0
2,100000,0,283,5581,405,0
3,100000,0,257,5662,302,0
4,100000,0,252,5581,296,0
5,100000,0,264,5558,281,0
1,150000,0,375,8407,609,0
2,150000,0,472,8437,424,0
3,150000,0,392,8397,459,0
4,150000,0,405,8217,415,0
5,150000,0,371,8342,429,0
1,200000,0,674,10725,596,0
2,200000,0,514,10943,671,0
3,200000,0,505,10676,563,0
4,200000,0,514,11204,689,0
5,200000,0,508,10803,640,0
1,50000,0,134,2663,168,0
2,50000,0,121,2675,213,0
3,50000,0,125,2697,237,0
4,50000,0,139,2722,147,0
5,50000,0,123,2683,161,0
