Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,FIELD,employees_icdb_sha_field,EAGER,1,25/09/16 18:12:48,delete
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,1,414,1398,355,0
2,100000,0,357,1272,344,0
3,100000,0,359,1365,454,0
4,100000,0,381,1401,369,0
5,100000,0,430,1386,358,0
1,150000,0,618,1960,522,0
2,150000,0,543,2103,522,0
3,150000,0,533,1939,499,0
4,150000,0,504,1807,488,0
5,150000,0,526,1948,515,0
1,200000,0,721,2845,729,0
2,200000,0,832,2426,736,0
3,200000,0,1043,2599,701,0
4,200000,0,705,3012,677,0
5,200000,0,720,2714,671,0
1,50000,0,181,667,183,0
2,50000,0,179,687,177,0
3,50000,0,190,714,179,0
4,50000,0,193,621,172,0
5,50000,0,176,617,179,0
