Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,FIELD,employees_icdb_aes_field,EAGER,1,25/09/16 18:19:53,insert
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,3926,0,0,5481,0
2,100000,4206,0,0,4447,0
3,100000,3395,0,0,4206,0
4,100000,3148,0,0,3775,0
5,100000,2958,0,0,4308,0
1,150000,4205,0,0,6946,0
2,150000,5916,0,0,5732,0
3,150000,4782,0,0,5640,0
4,150000,4622,0,0,6105,0
5,150000,4711,0,0,5947,0
1,200000,5831,0,0,8287,0
2,200000,6246,0,0,8349,0
3,200000,7260,0,0,7615,0
4,200000,6260,0,0,7952,0
5,200000,6853,0,0,7853,0
1,50000,1376,0,0,2410,0
2,50000,1331,0,0,1929,0
3,50000,1355,0,0,2084,0
4,50000,1311,0,0,1991,0
5,50000,1550,0,0,1894,0
