Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,TUPLE,employees_icdb_aes_tuple,EAGER,1,25/09/16 18:15:23,insert
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,2636,0,0,2955,0
2,100000,1945,0,0,3067,0
3,100000,2000,0,0,2628,0
4,100000,2190,0,0,2122,0
5,100000,1684,0,0,2260,0
1,150000,2358,0,0,3491,0
2,150000,3504,0,0,3074,0
3,150000,1939,0,0,2927,0
4,150000,3073,0,0,3128,0
5,150000,3041,0,0,2719,0
1,200000,2982,0,0,3898,0
2,200000,4106,0,0,3919,0
3,200000,3881,0,0,3660,0
4,200000,3030,0,0,3854,0
5,200000,3922,0,0,4312,0
1,50000,737,0,0,1274,0
2,50000,645,0,0,972,0
3,50000,858,0,0,945,0
4,50000,789,0,0,1096,0
5,50000,803,0,0,1069,0
