Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
RSA,FIELD,employees_icdb_rsa_field,EAGER,1,25/09/16 19:28:46,insert
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,25222,0,0,10676,0
2,100000,24919,0,0,7682,0
3,100000,24472,0,0,6841,0
4,100000,24142,0,0,6868,0
5,100000,24275,0,0,7223,0
1,150000,37765,0,0,11492,0
2,150000,40581,0,0,11494,0
3,150000,36939,0,0,11188,0
4,150000,36382,0,0,10679,0
5,150000,36764,0,0,11321,0
1,200000,49128,0,0,16542,0
2,200000,47912,0,0,16014,0
3,200000,48532,0,0,15516,0
4,200000,49144,0,0,15414,0
5,200000,49196,0,0,15829,0
1,50000,12292,0,0,3895,0
2,50000,12562,0,0,3337,0
3,50000,12456,0,0,3514,0
4,50000,12217,0,0,3431,0
5,50000,12251,0,0,3432,0
