Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
RSA,TUPLE,employees_icdb_rsa_tuple,EAGER,1,25/09/16 18:56:36,insert
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,8175,0,0,7213,0
2,100000,7531,0,0,3193,0
3,100000,6958,0,0,3245,0
4,100000,7110,0,0,2947,0
5,100000,7190,0,0,2990,0
1,150000,10582,0,0,3878,0
2,150000,10722,0,0,4145,0
3,150000,10622,0,0,4650,0
4,150000,10860,0,0,4146,0
5,150000,10199,0,0,3613,0
1,200000,15148,0,0,4858,0
2,200000,15641,0,0,4863,0
3,200000,15738,0,0,4967,0
4,200000,14252,0,0,5008,0
5,200000,15223,0,0,4916,0
1,50000,3511,0,0,1496,0
2,50000,3323,0,0,1549,0
3,50000,3530,0,0,1517,0
4,50000,3274,0,0,1476,0
5,50000,3329,0,0,1529,0
