Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,FIELD,employees_icdb_sha_field,EAGER,1,25/09/16 18:12:48,insert
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,4253,0,0,5380,0
2,100000,3409,0,0,5053,0
3,100000,3676,0,0,4527,0
4,100000,3459,0,0,4234,0
5,100000,3306,0,0,3887,0
1,150000,5645,0,0,6238,0
2,150000,6045,0,0,6328,0
3,150000,5538,0,0,5865,0
4,150000,4725,0,0,5836,0
5,150000,4777,0,0,5981,0
1,200000,7814,0,0,7864,0
2,200000,7031,0,0,8543,0
3,200000,8104,0,0,7648,0
4,200000,8237,0,0,7476,0
5,200000,7178,0,0,8100,0
1,50000,1669,0,0,1824,0
2,50000,1622,0,0,2161,0
3,50000,1430,0,0,2261,0
4,50000,1534,0,0,2036,0
5,50000,1562,0,0,2241,0
