Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,TUPLE,employees_icdb_sha_tuple,EAGER,1,25/09/16 18:07:46,insert
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,2380,0,0,3457,0
2,100000,2161,0,0,2818,0
3,100000,1755,0,0,2252,0
4,100000,2569,0,0,2170,0
5,100000,2308,0,0,2336,0
1,150000,2952,0,0,3220,0
2,150000,2985,0,0,3038,0
3,150000,2176,0,0,3110,0
4,150000,3091,0,0,2677,0
5,150000,2339,0,0,3150,0
1,200000,3408,0,0,3976,0
2,200000,3000,0,0,3960,0
3,200000,3160,0,0,4063,0
4,200000,4085,0,0,4140,0
5,200000,4138,0,0,3915,0
1,50000,850,0,0,1252,0
2,50000,812,0,0,1070,0
3,50000,978,0,0,924,0
4,50000,828,0,0,1118,0
5,50000,864,0,0,1179,0
