Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,FIELD,employees_icdb_aes_field,EAGER,1,25/09/16 18:19:53,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,7,537,1165,526,0
2,100000,0,393,955,365,0
3,100000,0,333,970,375,0
4,100000,0,336,749,369,0
5,100000,0,486,915,363,0
1,150000,0,546,1405,770,0
2,150000,0,589,1310,563,0
3,150000,0,523,999,712,0
4,150000,0,584,1477,602,0
5,150000,0,514,1299,574,0
1,200000,0,680,2183,764,0
2,200000,0,714,1942,710,0
3,200000,0,725,2484,730,0
4,200000,0,757,1896,918,0
5,200000,0,730,1758,911,0
1,50000,0,175,363,181,0
2,50000,0,176,388,169,0
3,50000,0,178,403,177,0
4,50000,0,186,498,182,0
5,50000,0,166,480,170,0
