Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
AES,TUPLE,employees_icdb_aes_tuple,EAGER,1,25/09/16 18:15:23,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,3,332,570,329,0
2,100000,0,327,501,328,0
3,100000,0,637,394,269,0
4,100000,0,258,470,327,0
5,100000,0,253,364,262,0
1,150000,0,407,607,366,0
2,150000,0,373,544,369,0
3,150000,0,363,467,380,0
4,150000,0,393,571,386,0
5,150000,0,435,568,414,0
1,200000,0,506,652,551,0
2,200000,0,490,536,471,0
3,200000,0,509,843,495,0
4,200000,0,508,624,500,0
5,200000,0,516,706,494,0
1,50000,0,130,137,118,0
2,50000,0,119,136,119,0
3,50000,0,153,224,126,0
4,50000,0,126,199,141,0
5,50000,0,124,247,125,0
