Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
RSA,FIELD,employees_icdb_rsa_field,EAGER,1,25/09/16 19:28:46,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,9,535,21832,492,0
2,100000,0,408,21103,451,0
3,100000,0,435,21662,421,0
4,100000,0,392,21182,408,0
5,100000,0,608,21266,426,0
1,150000,0,701,32819,627,0
2,150000,0,656,32496,654,0
3,150000,0,637,32122,640,0
4,150000,0,600,31683,570,0
5,150000,0,638,32251,627,0
1,200000,0,1465,42748,1053,0
2,200000,0,1146,42885,957,0
3,200000,0,1124,41937,957,0
4,200000,0,1449,43086,989,0
5,200000,0,940,43448,917,0
1,50000,0,196,10784,203,0
2,50000,0,221,10778,203,0
3,50000,0,197,10661,217,0
4,50000,0,298,10770,204,0
5,50000,0,201,10571,265,0
