Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
RSA,TUPLE,employees_icdb_rsa_tuple,EAGER,1,25/09/16 18:56:36,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,3,412,5733,411,0
2,100000,0,249,5498,277,0
3,100000,0,277,5652,274,0
4,100000,0,252,5734,263,0
5,100000,0,248,5487,262,0
1,150000,0,393,8248,390,0
2,150000,0,364,8436,390,0
3,150000,0,392,8268,377,0
4,150000,0,394,8336,390,0
5,150000,0,368,8194,366,0
1,200000,0,496,10324,573,0
2,200000,0,661,10653,523,0
3,200000,0,517,10782,520,0
4,200000,0,570,10726,509,0
5,200000,0,553,10784,569,0
1,50000,0,127,2701,137,0
2,50000,0,133,2646,125,0
3,50000,0,133,2674,126,0
4,50000,0,143,2730,128,0
5,50000,0,149,2708,122,0
