Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,FIELD,employees_icdb_sha_field,EAGER,1,25/09/16 18:12:48,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,11,473,1938,457,0
2,100000,1,398,1312,364,0
3,100000,0,412,1416,378,0
4,100000,0,335,1093,346,0
5,100000,0,372,1303,359,0
1,150000,0,552,1985,562,0
2,150000,0,594,1937,559,0
3,150000,0,543,2053,540,0
4,150000,0,609,1908,544,0
5,150000,0,569,1935,648,0
1,200000,0,712,2743,724,0
2,200000,0,699,2282,702,0
3,200000,0,753,2614,723,0
4,200000,0,693,2625,729,0
5,200000,0,888,2280,714,0
1,50000,0,174,577,235,0
2,50000,0,207,567,203,0
3,50000,0,227,651,184,0
4,50000,0,168,554,170,0
5,50000,0,170,636,176,0
