Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,TUPLE,employees_icdb_sha_tuple,EAGER,1,25/09/16 18:07:46,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,100000,4,366,671,361,0
2,100000,0,284,608,296,0
3,100000,0,253,408,246,0
4,100000,0,304,484,352,0
5,100000,0,242,534,249,0
1,150000,0,361,538,342,0
2,150000,0,354,492,367,0
3,150000,0,366,641,463,0
4,150000,0,345,591,347,0
5,150000,0,346,552,470,0
1,200000,0,499,731,448,0
2,200000,0,517,1029,537,0
3,200000,0,462,882,491,0
4,200000,0,544,754,553,0
5,200000,0,452,701,560,0
1,50000,0,129,224,188,0
2,50000,0,121,301,124,0
3,50000,0,113,256,130,0
4,50000,0,125,300,127,0
5,50000,0,132,284,141,0
