Algorithm,Granularity,Schema Name,DB Query,Fetch Type,Threads,Date
SHA,TUPLE,employees_baseline,EAGER,1,25/09/16 17:58:50,select
run,Query Fetch Size,Query Conversion Time,Data Fetch Time,Verification Time,Execution Time,Aggregate operation Time
1,0,0,0,0,78,0
2,0,0,0,0,75,0
3,0,0,0,0,50,0
4,0,0,0,0,49,0
5,0,0,0,0,49,0
1,0,0,0,0,84,0
2,0,0,0,0,80,0
3,0,0,0,0,72,0
4,0,0,0,0,86,0
5,0,0,0,0,74,0
1,0,0,0,0,97,0
2,0,0,0,0,98,0
3,0,0,0,0,99,0
4,0,0,0,0,118,0
5,0,0,0,0,127,0
1,0,0,0,0,40,0
2,0,0,0,0,25,0
3,0,0,0,0,40,0
4,0,0,0,0,45,0
5,0,0,0,0,24,0
